episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.9146941299999298,True,False
2,410.0,702,1087,0.1,0.02458550172741525,5.571356855999966,True,False
3,830.0,710,1797,0.1,0.026179445656575654,10.906734250999989,True,False
4,910.0,798,2595,0.1,0.03252574910196808,13.741416303999927,True,False
5,800.0,635,3230,0.1,0.03328272808085447,16.25591799499989,True,False
6,340.0,520,3750,0.1,0.03467931605006855,18.58059317099992,True,False
7,1160.0,624,4374,0.1,0.0325068981149413,20.77081163999992,True,False
8,510.0,649,5023,0.1,0.03241943268760763,23.1807111359999,True,False
9,420.0,569,5592,0.1,0.03497453801206906,25.542258944999958,True,False
10,330.0,460,6052,0.1,0.036119945723887374,27.25193583099997,True,False
11,610.0,635,6687,0.1,0.03817219198666678,30.152072300999976,True,False
12,620.0,519,7206,0.1,0.036605556617276026,32.14554931199996,True,False
13,550.0,706,7912,0.1,0.03309401527499664,34.74614867399998,True,False
14,830.0,870,8782,0.1,0.0391743930533082,37.766276870999945,True,False
15,450.0,484,9266,0.1,0.03679556124805173,39.55717415799995,True,False
16,790.0,585,9851,0.1,0.03868431405304638,42.1312245339999,True,False
17,770.0,638,10489,0.1,0.040327353414613756,44.81216863899999,True,False
18,480.0,480,10969,0.1,0.03784314051348095,46.5806294759999,True,False
19,360.0,417,11386,0.1,0.04363121017097281,48.152594484999895,True,False
20,820.0,535,11921,0.1,0.03947984577337308,50.07357635899996,True,False
21,1040.0,877,12798,0.1,0.04290183047980887,53.21664422399999,True,False
22,810.0,709,13507,0.1,0.04170849736211663,56.50522828099997,True,False
23,360.0,457,13964,0.1,0.042637391305407106,58.207366351999895,True,False
24,520.0,604,14568,0.1,0.040830212171090806,60.37394364699992,True,False
25,660.0,700,15268,0.1,0.04114560616601791,62.836490117999915,True,False
26,560.0,505,15773,0.1,0.04318951692668691,66.55133733999992,True,False
27,430.0,434,16207,0.1,0.03996853484703159,68.690036867,True,False
28,1620.0,858,17065,0.1,0.041656274454624845,71.73058377299992,True,False
29,550.0,708,17773,0.1,0.04208253415322489,74.26795950799999,True,False
30,830.0,863,18636,0.1,0.04301217582973617,77.30033271399998,True,False
31,290.0,428,19064,0.1,0.04331854877070846,78.98817675099997,True,False
32,480.0,603,19667,0.1,0.04452922690349321,81.79411130999995,True,False
33,700.0,706,20373,0.1,0.04552686331520057,84.93461375799995,True,False
34,1200.0,929,21302,0.1,0.04121991750736047,88.62463775599997,True,False
35,490.0,578,21880,0.1,0.04103009841115824,90.74291863399992,True,False
36,580.0,701,22581,0.1,0.038931669084621326,93.84849573299994,True,False
37,500.0,708,23289,0.1,0.043451123599931175,96.47739694999996,True,False
38,1090.0,992,24281,0.1,0.041755226977740326,99.98305551499993,True,False
39,920.0,760,25041,0.1,0.044059071729057715,102.673121165,True,False
40,530.0,543,25584,0.1,0.0563441407353179,104.85750730999996,True,False
41,350.0,474,26058,0.1,0.05174550328056438,107.1291514159999,True,False
42,750.0,568,26626,0.1,0.06281387098920597,109.18446976899997,True,False
43,400.0,412,27038,0.1,0.048021744963830534,110.75824810699999,True,False
44,320.0,436,27474,0.1,0.047469551593851335,112.392985361,True,False
45,330.0,423,27897,0.1,0.05482345030484897,113.99725982099994,True,False
46,600.0,590,28487,0.1,0.05925397200471893,116.15265578699996,True,False
47,540.0,497,28984,0.1,0.05660656860470772,118.42995406599994,True,False
48,420.0,517,29501,0.1,0.06909519361779672,120.651696743,True,False
49,820.0,758,30259,0.1,0.06932167699511246,123.37399690799998,True,False
50,830.0,709,30968,0.1,0.06538944388478157,125.94820037599993,True,False
51,610.0,631,31599,0.1,0.0700628097928396,130.33215138599996,True,False
52,1010.0,722,32321,0.1,0.07160433775935714,133.44568740199998,True,False
53,730.0,774,33095,0.1,0.07015474021936637,136.22040960799995,True,False
54,290.0,467,33562,0.1,0.0682153011727919,137.95375726399993,True,False
55,680.0,656,34218,0.1,0.06740130556224869,140.332829425,True,False
56,840.0,688,34906,0.1,0.06756857385165817,142.99260309699991,True,False
57,320.0,479,35385,0.1,0.059658597510618465,145.34166983599994,True,False
58,680.0,621,36006,0.1,0.06931958020394367,147.67793571899995,True,False
59,1590.0,934,36940,0.1,0.06782304079661894,151.02598538899997,True,False
60,180.0,501,37441,0.1,0.06723628214746713,152.91067826699998,True,False
61,740.0,611,38052,0.1,0.07111599263461198,155.27170773699993,True,False
62,1030.0,718,38770,0.1,0.07692546381318537,158.54013003799992,True,False
63,790.0,566,39336,0.1,0.05839905601886796,160.61014629499994,True,False
64,810.0,643,39979,0.1,0.07253453151788562,162.94282103199987,True,False
65,770.0,667,40646,0.1,0.0689057032103667,165.40227088699987,True,False
66,480.0,472,41118,0.1,0.0785624633259061,167.17791458099998,True,False
67,310.0,494,41612,0.1,0.0763963766681451,169.38234837499988,True,False
