episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,1.2191704810002193,True,False
2,460.0,700,1085,1.0,nan,3.9443930820002606,True,False
3,210.0,504,1589,1.0,nan,5.996092602000317,True,False
4,180.0,392,1981,1.0,nan,7.7085795870002585,True,False
5,320.0,765,2746,1.0,nan,11.818680627000049,True,False
6,210.0,364,3110,1.0,nan,12.482110445000217,True,False
7,300.0,626,3736,1.0,nan,13.54803462200016,True,False
8,130.0,443,4179,1.0,nan,14.334284271000342,True,False
9,220.0,455,4634,1.0,nan,15.156053022000378,True,False
10,140.0,366,5000,1.0,nan,15.847000953000133,True,False
11,280.0,451,5451,1.0,nan,16.670595418000175,True,False
12,260.0,519,5970,1.0,nan,17.606490829999984,True,False
13,240.0,532,6502,1.0,nan,18.526836366000225,True,False
14,410.0,722,7224,1.0,nan,19.69376514400028,True,False
15,300.0,456,7680,1.0,nan,20.4894212600002,True,False
16,280.0,487,8167,1.0,nan,21.817794524999954,True,False
17,200.0,426,8593,1.0,nan,22.986180160000004,True,False
18,220.0,438,9031,1.0,nan,24.18026778500007,True,False
19,320.0,529,9560,1.0,nan,25.203341335999994,True,False
20,540.0,661,10221,0.1,0.024571493207726496,26.773780632000125,True,False
21,700.0,617,10838,0.1,0.025944348347755813,29.250391943000068,True,False
22,510.0,513,11351,0.1,0.02730808338992574,31.291132867000215,True,False
23,900.0,603,11954,0.1,0.02798933755846953,33.71257902000025,True,False
24,840.0,612,12566,0.1,0.02768650167226773,36.723084076000305,True,False
25,420.0,452,13018,0.1,0.02381577490173709,38.79762175900032,True,False
26,400.0,373,13391,0.1,0.029183077212217794,42.771474284000305,True,False
27,220.0,296,13687,0.1,0.027747487097921957,44.00700736800036,True,False
28,220.0,296,13983,0.1,0.029219765884713648,45.2554569670001,True,False
29,280.0,424,14407,0.1,0.028554003612129546,46.95161542000005,True,False
30,850.0,669,15076,0.1,0.03139240081890464,50.29476918800037,True,False
31,990.0,830,15906,0.1,0.029964694025552862,53.60973735100015,True,False
32,350.0,501,16407,0.1,0.03286601645313204,55.65312783900026,True,False
33,670.0,580,16987,0.1,0.03119975136239724,57.99736690100008,True,False
34,540.0,481,17468,0.1,0.032934359487430925,59.99947567900017,True,False
35,310.0,454,17922,0.1,0.0300161280150039,62.375724748000266,True,False
36,1020.0,655,18577,0.1,0.030366874838719235,65.277816067,True,False
37,710.0,528,19105,0.1,0.030048099401800286,67.38731509300032,True,False
38,1050.0,820,19925,0.1,0.029730656292721085,70.52426946200012,True,False
39,460.0,920,20845,0.1,0.030762887977913995,74.39040790600029,True,False
40,320.0,487,21332,0.1,0.03204748646516475,76.87077971000008,True,False
41,290.0,420,21752,0.1,0.0334795069780999,78.52882511500002,True,False
42,420.0,414,22166,0.1,0.034857540135949994,80.21586317100036,True,False
43,460.0,454,22620,0.1,0.0309687666605194,82.08372287500015,True,False
44,600.0,716,23336,0.1,0.03057372075240206,84.90030385,True,False
45,1000.0,585,23921,0.1,0.03527733713487316,87.57665624900028,True,False
46,1700.0,1016,24937,0.1,0.03565929163482011,91.89146737200008,True,False
47,310.0,367,25304,0.1,0.036551801149945946,93.47964321300014,True,False
48,760.0,871,26175,0.1,0.03432794460224219,96.85802116900004,True,False
49,520.0,542,26717,0.1,0.03461431301034549,99.11684193000019,True,False
50,590.0,595,27312,0.1,0.03537676036951676,102.19914637800002,True,False
51,670.0,651,27963,0.1,0.03307077714046578,107.0001885050001,True,False
52,1270.0,776,28739,0.1,0.03685833121825144,110.72168684799999,True,False
53,500.0,454,29193,0.1,0.03445658892221553,113.31802377200029,True,False
54,650.0,625,29818,0.1,0.034871821163389355,116.23320350600034,True,False
55,520.0,584,30402,0.1,0.03932354979261705,118.52391317499996,True,False
56,330.0,424,30826,0.1,0.03627717600177692,120.26468372900035,True,False
57,2640.0,1373,32199,0.1,0.03729992582050014,125.80758367900035,True,False
58,440.0,423,32622,0.1,0.04234586936368976,128.11026815000014,True,False
59,820.0,772,33394,0.1,0.0396772790507177,131.1912697050002,True,False
60,740.0,551,33945,0.1,0.035027370163900916,133.4441226570002,True,False
61,1540.0,1111,35056,0.1,0.04116948739216804,137.91487229700033,True,False
62,240.0,380,35436,0.1,0.041726496955379846,140.15979088500035,True,False
63,1050.0,464,35900,0.1,0.03949006308865701,142.12967069700017,True,False
64,300.0,479,36379,0.1,0.046060677073864624,144.12784166400024,True,False
65,1040.0,865,37244,0.1,0.04182912242890675,147.54045338800006,True,False
66,590.0,628,37872,0.1,0.04482823632847352,150.08023850300015,True,False
67,810.0,714,38586,0.1,0.04210024832465341,153.685696131,True,False
68,1270.0,928,39514,0.1,0.043861466165880894,157.36385471200038,True,False
69,1110.0,925,40439,0.1,0.04420921190750676,160.98566936800034,True,False
70,910.0,545,40984,0.1,0.04374646538202345,163.2878451620004,True,False
71,620.0,693,41677,0.1,0.04513917663376886,166.8776357720003,True,False
72,280.0,347,42024,0.1,0.044627206913869955,168.3764875310003,True,False
73,440.0,422,42446,0.1,0.049926845720481304,170.13443034500006,True,False
74,290.0,409,42855,0.1,0.04530562016674701,171.82636260400022,True,False
